,batsman,Runs_scored,Balls_Faced,Matches_played,Fours,Sixes,Fifties,Hundreds,Highest_score,Average,Strike_rate,Strike_rate_6_Overs,Strike_rate_7-14_Overs,Strike_rate_16-20_Overs
183,JJ Roy,179,139,8,18.0,8.0,1.0,0.0,91,29.833333333333332,128.77697841726618,115.4639175257732,136.8421052631579,115.4639175257732
184,MF Maharoof,177,124,14,12.0,9.0,0.0,0.0,39,17.7,142.74193548387098,50.0,128.125,50.0
185,C Munro,177,144,11,19.0,8.0,0.0,0.0,40,19.666666666666668,122.91666666666667,129.90654205607476,109.6774193548387,129.90654205607476
186,DH Yagnik,170,142,17,23.0,2.0,0.0,0.0,34,18.88888888888889,119.71830985915493,0.0,119.35483870967742,0.0
187,S Dube,169,142,13,6.0,12.0,0.0,0.0,27,15.363636363636363,119.01408450704226,125.0,104.16666666666667,125.0
188,CM Gautam,169,158,13,17.0,6.0,0.0,0.0,33,18.77777777777778,106.9620253164557,107.14285714285714,90.69767441860465,107.14285714285714
189,DW Steyn,167,163,33,14.0,3.0,0.0,0.0,19,7.590909090909091,0.0,0.0,0.0,0.0
190,MN van Wyk,167,135,5,19.0,1.0,1.0,0.0,74,55.666666666666664,123.70370370370371,103.2258064516129,113.11475409836065,103.2258064516129
191,MG Johnson,167,168,28,10.0,7.0,0.0,0.0,16,11.928571428571429,0.0,0.0,0.0,0.0
192,S Gopal,164,161,19,17.0,1.0,0.0,0.0,24,13.666666666666666,101.86335403726709,42.857142857142854,72.41379310344827,42.857142857142854
193,PA Reddy,164,167,10,15.0,2.0,0.0,0.0,42,16.4,98.20359281437126,91.66666666666667,92.85714285714286,91.66666666666667
194,MN Samuels,161,174,14,9.0,7.0,0.0,0.0,46,13.416666666666666,92.52873563218391,36.8421052631579,102.52100840336135,36.8421052631579
195,R McLaren,159,178,13,14.0,1.0,1.0,0.0,51,19.875,89.32584269662921,68.0,79.34782608695652,68.0
196,RE van der Merwe,159,144,15,11.0,8.0,0.0,0.0,35,13.25,110.41666666666667,102.56410256410257,113.79310344827586,102.56410256410257
197,R Dhawan,153,135,16,13.0,4.0,0.0,0.0,25,21.857142857142858,0.0,0.0,0.0,0.0
198,AD Hales,148,119,6,13.0,6.0,0.0,0.0,45,24.666666666666668,124.36974789915966,132.22222222222223,100.0,132.22222222222223
199,SM Pollock,147,116,8,12.0,8.0,0.0,0.0,33,18.375,126.72413793103448,50.0,100.0,50.0
200,Mohammad Nabi,146,102,11,13.0,7.0,0.0,0.0,31,16.22222222222222,0.0,0.0,0.0,0.0
201,S Vidyut,145,115,8,21.0,3.0,1.0,0.0,54,18.125,126.08695652173913,122.72727272727273,154.16666666666666,122.72727272727273
202,Abhishek Sharma,143,104,13,10.0,8.0,0.0,0.0,46,17.875,0.0,0.0,0.0,0.0
203,N Saini,140,143,10,0.0,0.0,1.0,0.0,50,12.727272727272727,97.9020979020979,91.75257731958763,115.78947368421052,91.75257731958763
204,Rashid Khan,139,99,23,8.0,11.0,0.0,0.0,34,8.6875,0.0,0.0,0.0,0.0
205,Sachin Baby,137,106,10,11.0,5.0,0.0,0.0,33,15.222222222222221,129.24528301886792,0.0,110.52631578947368,0.0
206,S Anirudha,136,121,12,9.0,7.0,1.0,0.0,64,17.0,112.39669421487604,100.0,84.375,100.0
207,PK Garg,133,116,10,9.0,4.0,1.0,0.0,51,14.777777777777779,114.65517241379311,120.0,80.95238095238095,120.0
208,SB Styris,131,134,10,10.0,3.0,0.0,0.0,36,18.714285714285715,97.76119402985074,70.83333333333333,90.2439024390244,70.83333333333333
209,W Jaffer,130,129,8,14.0,3.0,1.0,0.0,50,18.571428571428573,100.7751937984496,80.58252427184466,180.76923076923077,80.58252427184466
210,HV Patel,128,99,17,5.0,9.0,0.0,0.0,36,11.636363636363637,0.0,0.0,0.0,0.0
211,Kamran Akmal,128,78,6,13.0,8.0,1.0,0.0,53,32.0,164.10256410256412,121.42857142857143,268.42105263157896,121.42857142857143
212,UT Khawaja,127,105,6,14.0,3.0,0.0,0.0,30,25.4,120.95238095238095,129.41176470588235,85.0,129.41176470588235
213,D Wiese,127,94,8,12.0,4.0,0.0,0.0,47,25.4,0.0,0.0,0.0,0.0
214,P Dogra,127,141,12,4.0,5.0,0.0,0.0,41,10.583333333333334,0.0,0.0,0.0,0.0
215,M Morkel,126,93,20,11.0,5.0,0.0,0.0,23,11.454545454545455,0.0,0.0,0.0,0.0
216,K Rabada,125,135,13,9.0,4.0,0.0,0.0,44,13.88888888888889,92.5925925925926,50.0,89.0909090909091,50.0
217,MC Juneja,125,134,7,11.0,1.0,0.0,0.0,49,17.857142857142858,93.28358208955224,96.29629629629629,90.10989010989012,96.29629629629629
218,BB Samantray,125,116,8,13.0,2.0,1.0,0.0,55,25.0,107.75862068965517,81.48148148148148,105.17241379310344,81.48148148148148
219,B Lee,124,102,19,8.0,8.0,0.0,0.0,25,12.4,0.0,0.0,0.0,0.0
220,AB McDonald,123,103,9,9.0,4.0,0.0,0.0,33,24.6,119.41747572815534,157.89473684210526,81.25,157.89473684210526
221,UT Yadav,122,135,34,11.0,4.0,0.0,0.0,24,8.714285714285714,0.0,0.0,0.0,0.0
222,MM Sharma,122,120,25,9.0,4.0,0.0,0.0,21,8.714285714285714,0.0,0.0,0.0,0.0
223,Niraj Patel,121,124,6,14.0,1.0,1.0,0.0,57,24.2,97.58064516129032,74.28571428571429,103.2258064516129,74.28571428571429
224,DL Vettori,121,118,16,11.0,2.0,0.0,0.0,29,17.285714285714285,0.0,0.0,0.0,0.0
225,AC Blizzard,120,91,7,21.0,2.0,1.0,0.0,51,17.142857142857142,131.86813186813185,127.90697674418605,200.0,127.90697674418605
226,RJ Harris,117,112,21,6.0,3.0,0.0,0.0,17,9.75,0.0,0.0,0.0,0.0
227,Misbah-ul-Haq,117,82,8,10.0,6.0,0.0,0.0,47,13.0,142.6829268292683,131.8181818181818,115.0,131.8181818181818
228,Z Khan,117,141,27,11.0,2.0,0.0,0.0,23,7.8,82.97872340425532,0.0,31.03448275862069,0.0
229,KK Cooper,116,70,12,9.0,8.0,0.0,0.0,32,12.88888888888889,165.71428571428572,122.22222222222223,152.94117647058823,122.22222222222223
230,DJM Short,115,102,7,11.0,5.0,0.0,0.0,44,16.428571428571427,112.74509803921569,80.28169014084507,187.09677419354838,80.28169014084507
231,TG Southee,115,91,13,8.0,4.0,0.0,0.0,36,19.166666666666668,0.0,0.0,0.0,0.0
232,M Kartik,113,109,14,7.0,1.0,0.0,0.0,21,16.142857142857142,0.0,0.0,0.0,0.0
233,Abdul Samad,111,66,7,8.0,6.0,0.0,0.0,33,22.2,0.0,0.0,0.0,0.0
234,DJ Harris,111,103,4,11.0,5.0,0.0,0.0,47,37.0,107.76699029126213,86.66666666666667,164.28571428571428,86.66666666666667
235,LJ Wright,106,63,5,16.0,3.0,0.0,0.0,44,26.5,168.25396825396825,90.0,86.66666666666667,90.0
236,TK Curran,106,91,8,8.0,3.0,1.0,0.0,54,26.5,0.0,0.0,0.0,0.0
237,JDP Oram,106,110,11,6.0,5.0,0.0,0.0,41,13.25,0.0,0.0,0.0,0.0
238,DS Kulkarni,104,113,20,7.0,2.0,0.0,0.0,28,11.555555555555555,0.0,0.0,0.0,0.0
239,JO Holder,104,86,9,9.0,5.0,0.0,0.0,26,14.857142857142858,120.93023255813954,71.42857142857143,142.30769230769232,71.42857142857143
240,RJ Quiney,103,105,7,12.0,3.0,1.0,0.0,51,14.714285714285714,98.0952380952381,86.07594936708861,147.82608695652175,86.07594936708861
241,MS Gony,99,76,15,6.0,8.0,0.0,0.0,42,11.0,0.0,0.0,0.0,0.0
242,SD Chitnis,99,92,8,10.0,2.0,0.0,0.0,38,14.142857142857142,107.6086956521739,53.84615384615385,119.51219512195122,53.84615384615385
243,CJ Ferguson,98,119,8,0.0,0.0,0.0,0.0,23,16.333333333333332,82.3529411764706,68.75,84.12698412698413,68.75
244,MJ Clarke,98,96,6,0.0,0.0,0.0,0.0,41,16.333333333333332,102.08333333333333,106.49350649350649,84.21052631578948,106.49350649350649
245,MA Starc,96,98,11,0.0,0.0,0.0,0.0,29,16.0,0.0,0.0,0.0,0.0
246,DJ Jacobs,92,101,7,10.0,4.0,0.0,0.0,32,13.142857142857142,91.08910891089108,88.42105263157895,133.33333333333334,88.42105263157895
247,PR Shah,92,97,9,9.0,2.0,0.0,0.0,29,11.5,94.84536082474227,90.0,87.87878787878788,90.0
248,S Rana,91,82,8,9.0,1.0,0.0,0.0,19,18.2,110.97560975609755,84.0,28.571428571428573,84.0
249,AJ Tye,91,79,13,6.0,5.0,0.0,0.0,25,11.375,0.0,0.0,0.0,0.0
250,RT Ponting,91,129,9,5.0,2.0,0.0,0.0,28,11.375,70.54263565891473,67.04545454545455,78.04878048780488,67.04545454545455
251,AD Nath,90,99,10,7.0,2.0,0.0,0.0,24,9.0,90.9090909090909,72.22222222222223,98.21428571428571,72.22222222222223
252,Iqbal Abdulla,88,86,13,9.0,1.0,0.0,0.0,33,88.0,0.0,0.0,0.0,0.0
253,SL Malinga,88,103,20,6.0,5.0,0.0,0.0,17,7.333333333333333,0.0,0.0,0.0,0.0
254,Ankit Sharma,87,69,10,7.0,4.0,0.0,0.0,30,12.428571428571429,126.08695652173913,116.66666666666667,110.0,116.66666666666667
255,MK Lomror,87,78,6,5.0,3.0,0.0,0.0,47,17.4,111.53846153846153,110.0,108.57142857142857,110.0
256,AP Majumdar,87,77,4,7.0,2.0,0.0,0.0,31,21.75,112.98701298701299,126.3157894736842,110.9090909090909,126.3157894736842
257,MJ McClenaghan,85,73,20,5.0,7.0,0.0,0.0,20,7.7272727272727275,116.43835616438356,0.0,145.0,0.0
258,RE Levi,83,74,6,10.0,4.0,1.0,0.0,50,13.833333333333334,112.16216216216216,113.84615384615384,100.0,113.84615384615384
259,LA Carseldine,81,71,5,0.0,0.0,0.0,0.0,39,27.0,114.08450704225352,104.8780487804878,105.88235294117646,104.8780487804878
260,WPUJC Vaas,81,73,11,2.0,3.0,0.0,0.0,20,11.571428571428571,0.0,0.0,0.0,0.0
261,Shahid Afridi,81,46,9,7.0,6.0,0.0,0.0,33,10.125,176.08695652173913,226.31578947368422,94.11764705882354,226.31578947368422
262,AD Mascarenhas,79,79,11,5.0,1.0,0.0,0.0,27,7.9,100.0,200.0,72.22222222222223,200.0
263,DL Chahar,78,58,10,2.0,6.0,0.0,0.0,39,11.142857142857142,134.48275862068965,0.0,166.66666666666666,0.0
264,JR Philippe,78,80,5,9.0,1.0,0.0,0.0,33,19.5,97.5,96.82539682539682,106.66666666666667,96.82539682539682
265,RK Singh,77,79,8,6.0,2.0,0.0,0.0,30,11.0,97.46835443037975,150.0,91.66666666666667,150.0
266,NM Coulter-Nile,77,68,13,7.0,4.0,0.0,0.0,24,9.625,0.0,0.0,0.0,0.0
267,B Akhil,76,57,11,5.0,5.0,0.0,0.0,27,10.857142857142858,0.0,0.0,0.0,0.0
268,IR Jaggi,76,100,7,0.0,0.0,0.0,0.0,28,15.2,76.0,60.416666666666664,91.89189189189189,60.416666666666664
269,TR Birt,75,59,5,9.0,2.0,0.0,0.0,27,15.0,127.11864406779661,16.666666666666668,87.5,16.666666666666668
270,M Klinger,73,78,4,0.0,0.0,0.0,0.0,29,18.25,93.58974358974359,93.44262295081967,94.11764705882354,93.44262295081967
271,RR Sarwan,73,78,4,6.0,1.0,0.0,0.0,31,24.333333333333332,93.58974358974359,100.0,82.14285714285714,100.0
272,SE Rutherford,73,55,7,2.0,7.0,0.0,0.0,28,14.6,0.0,0.0,0.0,0.0
273,LS Livingstone,70,48,4,6.0,5.0,0.0,0.0,44,23.333333333333332,145.83333333333334,157.5,100.0,157.5
274,AA Bilakhia,69,88,7,0.0,0.0,0.0,0.0,22,13.8,78.4090909090909,67.5,42.857142857142854,67.5
275,RR Powar,67,64,9,6.0,1.0,0.0,0.0,28,22.333333333333332,0.0,0.0,0.0,0.0
276,R Sharma,66,77,19,5.0,3.0,0.0,0.0,14,6.0,0.0,0.0,0.0,0.0
277,H Klaasen,66,58,6,5.0,1.0,0.0,0.0,32,13.2,113.79310344827586,92.85714285714286,66.66666666666667,92.85714285714286
278,JD Unadkat,64,67,13,6.0,1.0,0.0,0.0,26,8.0,0.0,0.0,0.0,0.0
279,Mohammad Hafeez,64,84,8,7.0,2.0,0.0,0.0,16,8.0,76.19047619047619,73.6842105263158,70.27027027027027,73.6842105263158
280,Anirudh Singh,63,69,4,6.0,1.0,0.0,0.0,40,15.75,91.30434782608695,81.81818181818181,96.96969696969697,81.81818181818181
281,WD Parnell,63,80,12,4.0,1.0,0.0,0.0,16,7.0,78.75,73.33333333333333,62.5,73.33333333333333
282,CR Woakes,63,66,11,5.0,2.0,0.0,0.0,18,12.6,0.0,0.0,0.0,0.0
283,A Flintoff,62,57,3,5.0,2.0,0.0,0.0,24,31.0,108.7719298245614,93.75,95.65217391304348,93.75
284,JDS Neesham,61,64,6,3.0,2.0,0.0,0.0,22,12.2,0.0,0.0,0.0,0.0
285,S Aravind,59,59,10,0.0,0.0,0.0,0.0,14,19.666666666666668,0.0,0.0,0.0,0.0
286,Kuldeep Yadav,57,76,10,0.0,0.0,0.0,0.0,16,14.25,0.0,0.0,0.0,0.0
287,WA Mota,56,76,8,0.0,0.0,0.0,0.0,25,11.2,0.0,0.0,0.0,0.0
288,Mohammed Shami,56,57,18,5.0,2.0,0.0,0.0,21,5.6,0.0,0.0,0.0,0.0
289,M Rawat,55,70,11,4.0,1.0,0.0,0.0,23,11.0,78.57142857142857,0.0,68.18181818181819,0.0
290,I Sharma,55,62,18,4.0,2.0,0.0,0.0,10,7.857142857142857,0.0,0.0,0.0,0.0
291,J Suchith,54,48,6,4.0,2.0,0.0,0.0,34,27.0,0.0,0.0,0.0,0.0
292,RR Rossouw,53,51,5,3.0,3.0,0.0,0.0,24,8.833333333333334,103.92156862745098,87.5,68.75,87.5
293,A Chopra,53,75,6,0.0,0.0,0.0,0.0,24,10.6,70.66666666666667,64.44444444444444,82.14285714285714,64.44444444444444
294,Shoaib Malik,52,49,5,0.0,0.0,0.0,0.0,24,13.0,106.12244897959184,100.0,109.52380952380952,100.0
295,RP Singh,52,78,28,2.0,1.0,0.0,0.0,10,3.466666666666667,0.0,0.0,0.0,0.0
296,R Rampaul,51,52,7,3.0,2.0,0.0,0.0,23,10.2,0.0,0.0,0.0,0.0
297,KB Arun Karthik,51,53,8,4.0,1.0,0.0,0.0,19,10.2,0.0,0.0,0.0,0.0
298,RV Gomez,50,53,9,5.0,1.0,0.0,0.0,26,7.142857142857143,94.33962264150944,0.0,0.0,0.0
299,VR Aaron,50,73,12,2.0,2.0,0.0,0.0,17,12.5,0.0,0.0,0.0,0.0
300,AS Yadav,49,40,6,5.0,2.0,0.0,0.0,16,7.0,0.0,0.0,0.0,0.0
301,AG Paunikar,49,61,5,0.0,0.0,0.0,0.0,20,9.8,0.0,0.0,0.0,0.0
302,SB Bangar,49,58,7,1.0,3.0,0.0,0.0,17,8.166666666666666,0.0,0.0,0.0,0.0
303,SN Thakur,48,42,9,5.0,1.0,0.0,0.0,15,9.6,0.0,0.0,0.0,0.0
304,Yashpal Singh,47,67,4,0.0,0.0,0.0,0.0,20,11.75,70.14925373134328,46.15384615384615,80.0,46.15384615384615
305,Mohammed Siraj,46,52,9,4.0,1.0,0.0,0.0,14,9.2,0.0,0.0,0.0,0.0
306,Sandeep Sharma,44,59,21,0.0,0.0,0.0,0.0,9,8.8,0.0,0.0,0.0,0.0
307,LH Ferguson,44,30,3,4.0,1.0,0.0,0.0,24,44.0,0.0,0.0,0.0,0.0
308,Sunny Singh,43,31,5,6.0,1.0,0.0,0.0,20,10.75,138.70967741935485,160.0,166.66666666666666,160.0
309,AB Barath,42,43,3,5.0,1.0,0.0,0.0,33,21.0,97.67441860465117,111.11111111111111,100.0,111.11111111111111
310,SK Trivedi,42,61,14,3.0,1.0,0.0,0.0,9,5.25,0.0,0.0,0.0,0.0
311,A Nehra,41,63,17,3.0,1.0,0.0,0.0,22,5.125,0.0,0.0,0.0,0.0
312,JJ Bumrah,40,42,11,2.0,1.0,0.0,0.0,16,10.0,0.0,0.0,0.0,0.0
313,YBK Jaiswal,40,44,3,2.0,2.0,0.0,0.0,34,13.333333333333334,90.9090909090909,66.66666666666667,142.85714285714286,66.66666666666667
314,LPC Silva,40,27,3,5.0,1.0,0.0,0.0,23,20.0,148.14814814814815,140.0,42.857142857142854,140.0
315,BR Dunk,40,36,3,0.0,0.0,0.0,0.0,20,13.333333333333334,0.0,0.0,0.0,0.0
316,MM Patel,39,41,12,0.0,0.0,0.0,0.0,23,7.8,0.0,0.0,0.0,0.0
317,DJ Thornely,39,54,4,2.0,2.0,0.0,0.0,30,13.0,72.22222222222223,27.586206896551722,124.0,27.586206896551722
318,S Nadeem,39,87,19,0.0,0.0,0.0,0.0,6,2.6,0.0,0.0,0.0,0.0
319,Umar Gul,39,19,4,1.0,5.0,0.0,0.0,24,13.0,0.0,0.0,0.0,0.0
320,AUK Pathan,39,26,7,5.0,2.0,0.0,0.0,14,7.8,150.0,210.0,100.0,210.0
321,SP Jackson,38,31,3,0.0,0.0,0.0,0.0,16,19.0,122.58064516129032,111.11111111111111,100.0,111.11111111111111
322,S Narwal,37,29,4,0.0,0.0,0.0,0.0,23,9.25,0.0,0.0,0.0,0.0
323,Joginder Sharma,36,30,5,1.0,2.0,0.0,0.0,16,9.0,0.0,0.0,0.0,0.0
324,AN Ahmed,36,27,6,4.0,1.0,0.0,0.0,18,36.0,0.0,0.0,0.0,0.0
325,L Balaji,36,50,13,2.0,1.0,0.0,0.0,15,5.142857142857143,0.0,0.0,0.0,0.0
326,KW Richardson,36,39,4,2.0,1.0,0.0,0.0,26,12.0,0.0,0.0,0.0,0.0
327,Sohail Tanvir,36,31,5,3.0,1.0,0.0,0.0,13,12.0,116.12903225806451,162.5,110.0,162.5
328,Anureet Singh,36,47,8,2.0,1.0,0.0,0.0,15,9.0,0.0,0.0,0.0,0.0
329,B Sumanth,35,38,4,0.0,0.0,0.0,0.0,16,35.0,0.0,0.0,0.0,0.0
330,A Kumble,35,49,15,0.0,0.0,0.0,0.0,8,17.5,0.0,0.0,0.0,0.0
331,AP Dole,34,23,2,3.0,1.0,0.0,0.0,30,17.0,0.0,0.0,0.0,0.0
332,A Mithun,34,26,6,4.0,1.0,0.0,0.0,11,6.8,0.0,0.0,0.0,0.0
333,L Ronchi,34,37,5,6.0,1.0,0.0,0.0,13,11.333333333333334,0.0,0.0,0.0,0.0
334,S Sreesanth,34,57,12,0.0,0.0,0.0,0.0,15,11.333333333333334,0.0,0.0,0.0,0.0
335,D Salunkhe,33,24,3,0.0,0.0,0.0,0.0,26,33.0,0.0,0.0,0.0,0.0
336,N Jagadeesan,33,31,2,0.0,0.0,0.0,0.0,33,16.5,106.45161290322581,42.857142857142854,125.0,42.857142857142854
337,Imran Tahir,33,37,8,0.0,0.0,0.0,0.0,13,8.25,0.0,0.0,0.0,0.0
338,MJ Santner,32,25,2,0.0,0.0,0.0,0.0,22,32.0,0.0,0.0,0.0,0.0
339,Basil Thampi,32,37,7,1.0,1.0,0.0,0.0,13,16.0,0.0,0.0,0.0,0.0
340,CJ Jordan,32,38,6,0.0,0.0,0.0,0.0,13,8.0,0.0,0.0,0.0,0.0
341,RJ Peterson,32,32,5,3.0,1.0,0.0,0.0,16,10.666666666666666,0.0,0.0,0.0,0.0
342,AT Carey,32,29,3,0.0,0.0,0.0,0.0,14,16.0,0.0,0.0,0.0,0.0
343,P Simran Singh,31,33,3,3.0,1.0,0.0,0.0,16,10.333333333333334,93.93939393939394,137.5,16.666666666666668,137.5
344,T Taibu,31,26,3,0.0,0.0,0.0,0.0,15,10.333333333333334,0.0,0.0,0.0,0.0
345,NS Naik,31,53,4,0.0,0.0,0.0,0.0,22,7.75,58.490566037735846,41.1764705882353,78.57142857142857,41.1764705882353
346,S Sriram,31,38,2,0.0,0.0,0.0,0.0,27,15.5,81.57894736842105,107.6923076923077,68.0,107.6923076923077
347,VH Zol,29,26,2,3.0,1.0,0.0,0.0,16,14.5,111.53846153846153,104.54545454545455,150.0,104.54545454545455
348,NA Saini,29,31,5,0.0,0.0,0.0,0.0,12,14.5,93.54838709677419,0.0,60.0,0.0
349,J Syed Mohammad,29,27,5,0.0,0.0,0.0,0.0,13,14.5,0.0,0.0,0.0,0.0
350,SB Jakati,28,30,5,0.0,0.0,0.0,0.0,13,14.0,0.0,0.0,0.0,0.0
351,M Markande,27,30,7,0.0,0.0,0.0,0.0,7,9.0,0.0,0.0,0.0,0.0
352,AS Rajpoot,26,41,7,2.0,1.0,0.0,0.0,8,6.5,0.0,0.0,0.0,0.0
353,NL McCullum,26,23,2,0.0,0.0,0.0,0.0,15,8.666666666666666,0.0,0.0,0.0,0.0
354,JM Kemp,26,25,2,1.0,1.0,0.0,0.0,22,13.0,104.0,150.0,130.0,150.0
355,AB Dinda,26,50,16,0.0,0.0,0.0,0.0,7,2.888888888888889,0.0,0.0,0.0,0.0
356,S Chanderpaul,25,33,3,0.0,0.0,0.0,0.0,16,8.333333333333334,0.0,0.0,0.0,0.0
357,A Choudhary,25,20,3,1.0,1.0,0.0,0.0,15,12.5,0.0,0.0,0.0,0.0
358,ER Dwivedi,24,15,2,2.0,2.0,0.0,0.0,19,12.0,0.0,0.0,0.0,0.0
359,PJ Sangwan,24,41,13,0.0,0.0,0.0,0.0,6,3.4285714285714284,0.0,0.0,0.0,0.0
360,KC Cariappa,24,21,5,0.0,0.0,0.0,0.0,12,8.0,0.0,0.0,0.0,0.0
361,MA Khote,24,22,3,2.0,1.0,0.0,0.0,9,12.0,0.0,0.0,0.0,0.0
362,SW Tait,23,26,5,1.0,1.0,0.0,0.0,11,7.666666666666667,0.0,0.0,0.0,0.0
363,BMAJ Mendis,23,27,3,0.0,0.0,0.0,0.0,12,7.666666666666667,85.18518518518519,42.857142857142854,100.0,42.857142857142854
364,J Arunkumar,23,24,3,0.0,0.0,0.0,0.0,22,7.666666666666667,0.0,0.0,0.0,0.0
365,Shivam Mavi,23,29,6,0.0,0.0,0.0,0.0,9,4.6,0.0,0.0,0.0,0.0
366,YS Chahal,22,54,14,0.0,0.0,0.0,0.0,4,4.4,0.0,0.0,0.0,0.0
367,MS Wade,22,33,3,0.0,0.0,0.0,0.0,8,7.333333333333333,66.66666666666667,50.0,78.94736842105263,50.0
368,GB Hogg,22,22,4,0.0,0.0,0.0,0.0,13,11.0,0.0,0.0,0.0,0.0
369,KL Nagarkoti,22,32,6,0.0,0.0,0.0,0.0,8,7.333333333333333,0.0,0.0,0.0,0.0
370,DE Bollinger,21,23,4,1.0,1.0,0.0,0.0,16,21.0,0.0,0.0,0.0,0.0
371,TU Deshpande,21,12,2,2.0,1.0,0.0,0.0,20,21.0,0.0,0.0,0.0,0.0
372,Harpreet Brar,20,14,1,2.0,1.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0
373,M Muralitharan,20,30,9,0.0,0.0,0.0,0.0,6,3.3333333333333335,0.0,0.0,0.0,0.0
374,RR Raje,20,18,5,1.0,1.0,0.0,0.0,11,20.0,0.0,0.0,0.0,0.0
375,Harpreet Singh,20,26,3,0.0,0.0,0.0,0.0,13,10.0,0.0,0.0,0.0,0.0
376,NJ Maddinson,20,21,3,0.0,0.0,0.0,0.0,12,6.666666666666667,0.0,0.0,0.0,0.0
377,AC Thomas,20,19,4,1.0,1.0,0.0,0.0,12,10.0,0.0,0.0,0.0,0.0
378,Y Gnaneswara Rao,19,18,1,0.0,0.0,0.0,0.0,19,19.0,0.0,0.0,0.0,0.0
379,Vishnu Vinod,19,26,3,1.0,1.0,0.0,0.0,9,6.333333333333333,0.0,0.0,0.0,0.0
380,P Sahu,19,13,2,1.0,1.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0
381,R Bishnoi,19,17,3,1.0,2.0,0.0,0.0,18,6.333333333333333,111.76470588235294,128.57142857142858,0.0,128.57142857142858
382,P Ray Barman,19,25,1,0.0,0.0,0.0,0.0,19,19.0,0.0,0.0,0.0,0.0
383,DR Martyn,19,26,1,0.0,0.0,0.0,0.0,19,9.5,73.07692307692308,50.0,66.66666666666667,50.0
384,A Mukund,19,23,2,0.0,0.0,0.0,0.0,19,9.5,82.6086956521739,94.73684210526316,33.333333333333336,94.73684210526316
385,R Shukla,19,23,4,0.0,0.0,0.0,0.0,14,9.5,0.0,0.0,0.0,0.0
386,JJ van der Wath,18,17,3,1.0,1.0,0.0,0.0,14,9.0,0.0,0.0,0.0,0.0
387,T Banton,18,22,2,1.0,1.0,0.0,0.0,10,9.0,0.0,0.0,0.0,0.0
388,KMA Paul,18,26,5,1.0,1.0,0.0,0.0,7,4.5,0.0,0.0,0.0,0.0
389,Harmeet Singh,18,12,4,0.0,0.0,0.0,0.0,14,9.0,0.0,0.0,0.0,0.0
390,DS Lehmann,18,19,2,0.0,0.0,0.0,0.0,17,9.0,94.73684210526316,125.0,86.66666666666667,125.0
391,PV Tambe,18,39,6,0.0,0.0,0.0,0.0,7,18.0,0.0,0.0,0.0,0.0
392,BJ Haddin,18,11,1,2.0,1.0,0.0,0.0,18,18.0,0.0,0.0,0.0,0.0
393,RD Chahar,17,17,6,0.0,0.0,0.0,0.0,10,8.5,0.0,0.0,0.0,0.0
394,Parvez Rasool,17,20,4,0.0,0.0,0.0,0.0,10,8.5,0.0,0.0,0.0,0.0
395,PP Ojha,16,45,19,0.0,0.0,0.0,0.0,3,1.6,0.0,0.0,0.0,0.0
396,CK Kapugedera,16,24,3,0.0,0.0,0.0,0.0,8,5.333333333333333,0.0,0.0,0.0,0.0
397,SD Lad,15,13,1,1.0,1.0,0.0,0.0,15,15.0,0.0,0.0,0.0,0.0
398,AS Joseph,15,13,1,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0
399,SA Abbott,15,13,2,1.0,1.0,0.0,0.0,14,15.0,0.0,0.0,0.0,0.0
400,JL Pattinson,15,13,2,0.0,0.0,0.0,0.0,11,15.0,0.0,0.0,0.0,0.0
401,GR Napier,15,16,1,0.0,0.0,0.0,0.0,15,15.0,0.0,0.0,0.0,0.0
402,C Madan,15,21,1,0.0,0.0,0.0,0.0,15,15.0,0.0,0.0,0.0,0.0
403,I Udana,15,11,4,1.0,1.0,0.0,0.0,10,5.0,0.0,0.0,0.0,0.0
404,VY Mahesh,15,28,5,0.0,0.0,0.0,0.0,6,7.5,0.0,0.0,0.0,0.0
405,F Behardien,14,13,3,0.0,0.0,0.0,0.0,9,7.0,0.0,0.0,0.0,0.0
406,MDKJ Perera,14,13,2,0.0,0.0,0.0,0.0,14,7.0,0.0,0.0,0.0,0.0
407,S Badree,13,25,5,0.0,0.0,0.0,0.0,8,2.6,52.0,0.0,62.5,0.0
408,DR Shorey,13,20,2,0.0,0.0,0.0,0.0,8,6.5,0.0,0.0,0.0,0.0
409,DT Patil,13,13,2,0.0,0.0,0.0,0.0,9,13.0,0.0,0.0,0.0,0.0
410,KJ Abbott,13,8,3,0.0,0.0,0.0,0.0,12,13.0,0.0,0.0,0.0,0.0
411,AA Chavan,12,11,3,0.0,0.0,0.0,0.0,7,12.0,0.0,0.0,0.0,0.0
412,Karanveer Singh,12,17,4,0.0,0.0,0.0,0.0,5,12.0,0.0,0.0,0.0,0.0
413,S Kaul,12,28,7,0.0,0.0,0.0,0.0,7,4.0,0.0,0.0,0.0,0.0
414,AR Bawne,12,12,1,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0
415,K Upadhyay,12,9,2,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0
416,TA Boult,12,15,5,0.0,0.0,0.0,0.0,6,4.0,0.0,0.0,0.0,0.0
