,batsman,Runs_scored,Balls_Faced,Matches_played,Fours,Sixes,Fifties,Hundreds,Highest_score,Average,Strike_rate,Strike_rate_6_Overs,Strike_rate_7-14_Overs,Strike_rate_16-20_Overs
41,DA Miller,1850,1374,77,126.0,87.0,9.0,1.0,101,34.25925925925926,134.6433770014556,90.67796610169492,119.00726392251816,90.67796610169492
42,DPMD Jayawardene,1802,1520,78,200.0,39.0,10.0,1.0,110,28.603174603174605,118.55263157894737,110.87662337662337,113.22188449848025,110.87662337662337
43,JC Buttler,1714,1184,57,167.0,77.0,11.0,0.0,95,35.708333333333336,144.76351351351352,143.63957597173146,138.52813852813853,143.63957597173146
44,MK Tiwary,1695,1489,83,156.0,40.0,7.0,0.0,75,27.78688524590164,113.83478844862324,93.56913183279742,107.31382978723404,93.56913183279742
45,MA Agarwal,1690,1310,83,161.0,67.0,7.0,1.0,106,21.666666666666668,129.00763358778627,115.8690176322418,137.32394366197184,115.8690176322418
46,KC Sangakkara,1687,1424,68,195.0,27.0,10.0,0.0,94,24.44927536231884,118.46910112359551,107.7720207253886,120.75736325385694,107.7720207253886
47,Mandeep Singh,1659,1364,90,170.0,37.0,6.0,0.0,77,21.26923076923077,121.62756598240469,114.87179487179488,115.6312625250501,114.87179487179488
48,KS Williamson,1619,1222,52,137.0,54.0,15.0,0.0,89,39.48780487804878,132.48772504091653,104.2042042042042,135.80060422960725,104.2042042042042
49,NV Ojha,1554,1360,94,121.0,79.0,6.0,0.0,94,21.0,114.26470588235294,95.41446208112875,124.12371134020619,95.41446208112875
50,AD Russell,1517,882,61,105.0,129.0,8.0,0.0,88,30.34,171.9954648526077,225.0,147.1264367816092,225.0
51,GJ Maxwell,1505,1013,78,119.0,91.0,6.0,0.0,95,21.81159420289855,148.56860809476802,116.47940074906367,158.6086956521739,116.47940074906367
52,DJ Bravo,1490,1199,101,116.0,61.0,5.0,0.0,70,22.923076923076923,124.27022518765638,94.30379746835443,92.45283018867924,94.30379746835443
53,KK Nair,1480,1174,66,160.0,39.0,10.0,0.0,83,23.49206349206349,126.06473594548552,118.12749003984064,118.95551257253385,118.12749003984064
54,S Badrinath,1441,1245,65,154.0,28.0,11.0,0.0,71,30.020833333333332,115.7429718875502,79.38461538461539,119.4662480376766,79.38461538461539
55,N Rana,1437,1093,55,127.0,72.0,11.0,0.0,87,27.11320754716981,131.4730100640439,105.52884615384616,137.8181818181818,105.52884615384616
56,BJ Hodge,1400,1153,63,122.0,43.0,6.0,0.0,73,30.434782608695652,121.42237640936686,87.38317757009345,109.5667870036101,87.38317757009345
57,SS Tiwary,1379,1192,69,101.0,48.0,7.0,0.0,61,28.729166666666668,115.68791946308725,102.33644859813084,109.58083832335329,102.33644859813084
58,HH Pandya,1349,897,74,86.0,93.0,4.0,0.0,91,28.70212765957447,150.3901895206243,53.48837209302326,130.1038062283737,53.48837209302326
59,SC Ganguly,1349,1326,56,137.0,42.0,7.0,0.0,91,24.98148148148148,101.73453996983409,92.96875,97.7469670710572,92.96875
60,DJ Hussey,1322,1101,61,90.0,60.0,5.0,0.0,71,26.979591836734695,120.07266121707539,100.60240963855422,106.27674750356633,100.60240963855422
61,CA Lynn,1280,938,41,128.0,63.0,10.0,0.0,93,34.5945945945946,136.46055437100213,140.49586776859505,132.65993265993265,140.49586776859505
62,EJG Morgan,1272,1037,59,104.0,58.0,5.0,0.0,68,25.959183673469386,122.66152362584378,90.43478260869566,113.12741312741312,90.43478260869566
63,Ishan Kishan,1211,907,46,100.0,64.0,7.0,0.0,99,30.275,133.51708930540244,111.87845303867404,138.88888888888889,111.87845303867404
64,TM Dilshan,1153,1047,50,140.0,24.0,9.0,0.0,76,28.121951219512194,110.12416427889207,104.41458733205374,101.99004975124379,104.41458733205374
65,KM Jadhav,1141,947,75,99.0,38.0,4.0,0.0,69,22.82,120.4857444561774,84.92063492063492,116.66666666666667,84.92063492063492
66,IK Pathan,1139,981,82,87.0,37.0,1.0,0.0,60,21.49056603773585,116.10601427115189,106.02409638554217,89.60739030023095,106.02409638554217
67,ML Hayden,1107,838,32,121.0,44.0,8.0,0.0,93,41.0,132.10023866348448,126.56826568265683,133.7448559670782,126.56826568265683
68,LMP Simmons,1079,878,29,109.0,44.0,11.0,1.0,100,39.96296296296296,122.89293849658314,113.13320825515947,136.80781758957656,113.13320825515947
69,LRPL Taylor,1017,847,54,66.0,46.0,3.0,0.0,81,24.804878048780488,120.07083825265643,122.5,105.38302277432712,122.5
70,M Vohra,1012,800,45,97.0,39.0,3.0,0.0,95,24.095238095238095,126.5,120.14134275618375,131.06796116504853,120.14134275618375
71,KP Pietersen,1001,758,36,91.0,40.0,4.0,1.0,103,34.51724137931034,132.0580474934037,127.02702702702703,128.30188679245282,127.02702702702703
72,KH Pandya,1000,727,57,95.0,40.0,1.0,0.0,86,26.31578947368421,137.5515818431912,111.42857142857143,125.35211267605634,111.42857142857143
73,RA Tripathi,988,756,44,95.0,37.0,5.0,0.0,93,26.7027027027027,130.68783068783068,138.29268292682926,115.2,138.29268292682926
74,Y Venugopal Rao,985,865,52,77.0,37.0,3.0,0.0,71,23.452380952380953,113.8728323699422,78.125,104.40251572327044,78.125
75,A Symonds,974,781,36,74.0,41.0,5.0,1.0,117,37.46153846153846,124.71190781049935,100.73529411764706,121.42857142857143,100.73529411764706
76,JA Morkel,974,711,67,61.0,55.0,3.0,0.0,73,24.35,136.9901547116737,117.3913043478261,117.87072243346007,117.3913043478261
77,MC Henriques,969,769,50,87.0,27.0,5.0,0.0,74,27.685714285714287,126.00780234070221,117.9245283018868,109.39226519337016,117.9245283018868
78,CL White,954,769,45,76.0,36.0,6.0,0.0,78,27.257142857142856,124.05721716514954,78.84615384615384,113.04347826086956,78.84615384615384
79,Shubman Gill,939,766,37,87.0,24.0,7.0,0.0,76,34.77777777777778,122.58485639686684,116.98630136986301,128.7719298245614,116.98630136986301
80,BA Stokes,920,700,40,79.0,32.0,2.0,2.0,107,24.210526315789473,131.42857142857142,128.15533980582524,123.91304347826087,128.15533980582524
81,AR Patel,913,745,71,53.0,43.0,0.0,0.0,44,17.901960784313726,122.5503355704698,88.0952380952381,106.95652173913044,88.0952380952381
82,SP Narine,892,573,63,103.0,52.0,4.0,0.0,75,18.20408163265306,155.6719022687609,167.16417910447763,157.28155339805826,167.16417910447763
83,HH Gibbs,886,837,36,83.0,31.0,6.0,0.0,69,27.6875,105.8542413381123,99.0138067061144,109.85915492957747,99.0138067061144
