,bowler,matches,total_wickets,total_balls_bowled,total_runs,dot_balls,extra_runs,average,strike_rate,economy,best_figure,boundaries_4-6,most_balls_in_single_over
126,GR Napier,1,1.0,84,28,8.0,1,28.0,84.0,7.0,1-28,2-1,6
124,GH Vihari,6,1.0,154,48,17.0,2,48.0,154.0,6.857142857142857,1-5,5-1,7
168,JR Hazlewood,3,1.0,217,72,29.0,9,72.0,217.0,7.2,1-23,10-0,7
69,BMAJ Mendis,2,1.0,105,36,11.0,0,36.0,105.0,7.2,1-16,2-2,6
34,AM Rahane,1,1.0,21,5,2.0,0,5.0,21.0,5.0,1-5,0,6
382,T Henderson,2,1.0,126,41,14.0,1,41.0,126.0,6.833333333333333,1-30,5-0,6
202,LA Carseldine,1,1.0,28,6,4.0,1,6.0,28.0,6.0,1-6,1-0,7
365,SS Sarkar,2,1.0,85,34,4.0,0,34.0,85.0,6.8,1-15,4-0,6
364,SS Mundhe,1,1.0,28,6,4.0,1,6.0,28.0,6.0,1-6,1-0,7
206,LMP Simmons,1,1.0,63,34,2.0,0,34.0,63.0,11.333333333333334,1-34,2-2,6
22,AC Gilchrist,1,1.0,1,0,1.0,0,0.0,1.0,0.0,1-0,0,1
275,PM Sarvesh Kumar,2,1.0,112,42,11.0,1,42.0,112.0,8.4,1-18,7-0,7
83,CJ McKay,2,1.0,147,60,14.0,0,60.0,147.0,8.571428571428571,1-36,8-1,6
127,GS Sandhu,2,1.0,168,86,9.0,4,86.0,168.0,10.75,1-37,8-2,6
362,SS Agarwal,1,1.0,84,42,7.0,0,42.0,84.0,10.5,1-42,3-3,6
392,TP Sudhindra,3,1.0,269,137,18.0,5,137.0,269.0,11.416666666666666,1-47,9-9,7
298,RG More,2,1.0,134,63,4.0,6,63.0,134.0,10.5,1-35,5-1,7
86,CL White,6,1.0,176,86,8.0,5,86.0,176.0,12.285714285714286,1-14,5-6,8
381,Swapnil Singh,5,1.0,217,90,10.0,1,90.0,217.0,9.0,1-14,1-6,7
3,A Dananjaya,1,0.0,91,47,6.0,1,0.0,0.0,11.75,0,2-4,7
17,AA Kazi,1,0.0,49,21,2.0,1,0.0,0.0,10.5,0,1-1,7
24,AC Voges,7,0.0,203,76,15.0,2,0.0,0.0,8.444444444444445,0,8-2,7
41,AS Raut,5,0.0,105,45,6.0,1,0.0,0.0,9.0,0,4-1,6
43,AUK Pathan,3,0.0,147,63,9.0,6,0.0,0.0,9.0,0,5-2,8
45,Abdur Razzak,1,0.0,56,29,5.0,6,0.0,0.0,14.5,0,3-1,7
55,B Chipli,1,0.0,21,20,1.0,0,0.0,0.0,20.0,0,1-2,6
68,BJ Rohrer,1,0.0,28,12,1.0,1,0.0,0.0,12.0,0,2-0,7
73,C Ganapathy,1,0.0,21,13,1.0,0,0.0,0.0,13.0,0,1-1,6
74,C Munro,2,0.0,42,15,5.0,0,0.0,0.0,7.5,0,1-1,6
80,CJ Dala,1,0.0,70,34,7.0,1,0.0,0.0,11.333333333333334,0,3-2,7
