,batsman,Runs_scored,Balls_Faced,Matches_played,Fours,Sixes
130,R Bhatia,342,290,47,24.0,13.0
131,P Kumar,340,323,57,22.0,17.0
132,AP Tare,339,285,27,40.0,11.0
133,SW Billings,334,256,19,31.0,10.0
134,JEC Franklin,327,309,16,25.0,9.0
135,RN ten Doeschate,326,238,21,26.0,15.0
136,KV Sharma,317,285,34,18.0,14.0
137,R Vinay Kumar,310,289,42,21.0,9.0
138,MM Ali,309,199,17,21.0,23.0
139,DB Das,304,267,22,23.0,16.0
140,C de Grandhomme,303,229,21,18.0,18.0
141,LA Pomersbach,302,251,16,25.0,13.0
142,UBT Chand,300,314,20,32.0,9.0
143,DJG Sammy,295,251,20,15.0,18.0
144,SP Goswami,293,307,21,32.0,3.0
145,Y Nagar,285,271,20,20.0,9.0
146,GH Vihari,284,331,23,23.0,1.0
147,VVS Laxman,282,271,20,33.0,5.0
148,SM Curran,281,200,19,25.0,15.0
149,A Ashish Reddy,280,196,23,16.0,15.0
150,B Chipli,280,256,21,28.0,7.0
151,MJ Lumb,278,198,12,45.0,6.0
152,SO Hetmyer,275,203,16,15.0,19.0
153,MJ Guptill,270,196,13,24.0,15.0
154,R Sathish,270,236,24,22.0,6.0
155,M Kaif,259,258,22,22.0,6.0
156,R Parag,246,214,13,23.0,8.0
157,SM Katich,241,191,11,26.0,8.0
158,BCJ Cutting,238,146,17,15.0,19.0
159,MD Mishra,237,213,17,24.0,8.0
160,MR Marsh,225,202,15,9.0,14.0
161,PJ Cummins,223,176,19,14.0,12.0
162,K Goel,218,239,16,17.0,9.0
163,AA Jhunjhunwala,217,218,15,19.0,5.0
164,TM Head,205,151,10,12.0,8.0
165,CA Ingram,205,183,15,22.0,5.0
166,RD Gaikwad,204,173,6,16.0,6.0
167,PD Collingwood,203,159,7,9.0,13.0
168,SK Warne,198,219,27,14.0,6.0
169,SP Fleming,196,171,10,27.0,3.0
170,JC Archer,195,128,21,11.0,14.0
171,AS Raut,194,172,16,13.0,7.0
172,Salman Butt,193,172,7,30.0,2.0
173,BJ Rohrer,193,145,8,21.0,5.0
174,YV Takawale,192,183,10,26.0,3.0
175,Bipul Sharma,187,124,17,11.0,9.0
176,K Gowtham,186,113,19,13.0,12.0
177,Washington Sundar,186,154,21,15.0,6.0
178,FY Fazal,183,179,11,22.0,1.0
179,B Kumar,183,199,42,17.0,3.0
180,CR Brathwaite,181,120,14,10.0,16.0
181,AC Voges,181,143,7,15.0,3.0
182,AB Agarkar,179,160,18,13.0,5.0
183,JJ Roy,179,139,8,18.0,8.0
184,MF Maharoof,177,124,14,12.0,9.0
185,C Munro,177,144,11,19.0,8.0
186,DH Yagnik,170,142,17,23.0,2.0
187,S Dube,169,142,13,6.0,12.0
188,CM Gautam,169,158,13,17.0,6.0
189,DW Steyn,167,163,33,14.0,3.0
190,MN van Wyk,167,135,5,19.0,1.0
191,MG Johnson,167,168,28,10.0,7.0
192,S Gopal,164,161,19,17.0,1.0
193,PA Reddy,164,167,10,15.0,2.0
194,MN Samuels,161,174,14,9.0,7.0
195,R McLaren,159,178,13,14.0,1.0
196,RE van der Merwe,159,144,15,11.0,8.0
197,R Dhawan,153,135,16,13.0,4.0
198,AD Hales,148,119,6,13.0,6.0
199,SM Pollock,147,116,8,12.0,8.0
200,Mohammad Nabi,146,102,11,13.0,7.0
201,S Vidyut,145,115,8,21.0,3.0
202,Abhishek Sharma,143,104,13,10.0,8.0
203,N Saini,140,143,10,,
204,Rashid Khan,139,99,23,8.0,11.0
205,Sachin Baby,137,106,10,11.0,5.0
206,S Anirudha,136,121,12,9.0,7.0
207,PK Garg,133,116,10,9.0,4.0
208,SB Styris,131,134,10,10.0,3.0
209,W Jaffer,130,129,8,14.0,3.0
210,HV Patel,128,99,17,5.0,9.0
211,Kamran Akmal,128,78,6,13.0,8.0
212,UT Khawaja,127,105,6,14.0,3.0
213,D Wiese,127,94,8,12.0,4.0
214,P Dogra,127,141,12,4.0,5.0
215,M Morkel,126,93,20,11.0,5.0
216,K Rabada,125,135,13,9.0,4.0
217,MC Juneja,125,134,7,11.0,1.0
218,BB Samantray,125,116,8,13.0,2.0
219,B Lee,124,102,19,8.0,8.0
220,AB McDonald,123,103,9,9.0,4.0
221,UT Yadav,122,135,34,11.0,4.0
222,MM Sharma,122,120,25,9.0,4.0
223,Niraj Patel,121,124,6,14.0,1.0
224,DL Vettori,121,118,16,11.0,2.0
225,AC Blizzard,120,91,7,21.0,2.0
226,RJ Harris,117,112,21,6.0,3.0
227,Misbah-ul-Haq,117,82,8,10.0,6.0
228,Z Khan,117,141,27,11.0,2.0
